LotNrRel;Allocate;EstValue;StartPrice;LotsSale;LotsSaleMain;LotsSaleSub;Weekday;SP.EV;yData
0.32217573221757323;0;250.0;75.0;976;441;68;2;0.3;1.0
0.5408450704225352;0;200.0;75.0;210;163;15;2;0.375;1.0
0.41409691629955947;1;4060.0;1750.0;364;261;58;2;0.4310344827586207;0.0
0.06553911205073996;0;500.0;380.0;454;148;20;4;0.76;1.0
0.22535211267605634;0;500.0;300.0;2843;376;51;2;0.6;1.0
0.9295774647887324;0;200.0;75.0;210;31;31;2;0.375;1.0
0.2315202231520223;0;3000.0;1000.0;976;38;20;2;0.3333333333333333;1.0
0.2154811715481172;0;1500.0;500.0;976;441;14;2;0.3333333333333333;1.0
0.6267605633802817;1;5000.0;1500.0;143;117;40;1;0.3;0.0
0.3207810320781032;0;200.0;75.0;976;441;68;2;0.375;1.0
0.9369718309859156;0;200.0;130.0;2843;376;51;2;0.65;1.0
0.32224532224532226;0;500.0;100.0;249;240;14;2;0.2;1.0
0.07734806629834254;0;400.0;225.0;183;181;12;1;0.5625;1.0
0.9743113587124728;0;200.0;100.0;3106;1179;170;2;0.5;1.0
0.8802816901408451;0;4000.0;1500.0;143;117;21;1;0.375;1.0
0.6297071129707112;0;750.0;200.0;976;135;8;2;0.26666666666666666;1.0
0.9154929577464788;0;400.0;25.0;285;32;32;2;0.0625;1.0
0.997920997920998;0;1700.0;850.0;249;240;7;2;0.5;1.0
0.5626760563380282;0;200.0;100.0;2843;1605;78;2;0.5;1.0
0.09713375796178343;0;500.0;300.0;1177;153;46;3;0.6;1.0
0.08433734939759037;0;400.0;250.0;89;29;9;4;0.625;1.0
0.3603603603603603;0;250.0;100.0;161;4;4;4;0.4;1.0
0.5517241379310345;0;700.0;400.0;116;84;16;1;0.5714285714285714;1.0
0.5687263556116016;0;200.0;120.0;1411;56;2;2;0.6;1.0
0.528169014084507;1;17500.0;7500.0;143;117;40;1;0.42857142857142855;0.0
0.09953488372093024;0;250.0;180.0;2165;62;40;2;0.72;1.0
0.5446985446985447;0;250.0;50.0;249;240;39;2;0.2;1.0
0.1828499369482976;0;500.0;350.0;1411;297;6;2;0.7;1.0
0.09813953488372093;0;250.0;180.0;2165;62;40;2;0.72;1.0
0.7386934673366834;0;700.0;500.0;460;249;44;4;0.7142857142857143;1.0
0.4449339207048458;1;2500.0;1000.0;364;261;58;2;0.4;0.0
0.5258019525801952;0;1600.0;500.0;976;135;19;2;0.3125;1.0
0.65;1;7500.0;2000.0;17;14;7;4;0.26666666666666666;1.0
0.72330547818013;0;200.0;100.0;3106;814;107;2;0.5;1.0
0.9774647887323944;0;500.0;200.0;210;31;31;2;0.4;1.0
0.1079295154185022;0;986.0;250.0;364;261;12;2;0.2535496957403651;1.0
0.21617852161785212;0;400.0;100.0;976;441;14;2;0.25;1.0
0.005116279069767442;0;7000.0;2000.0;2165;174;8;2;0.2857142857142857;1.0
0.2638190954773869;0;500.0;375.0;460;140;52;4;0.75;1.0
0.07440100882723834;0;200.0;150.0;1411;297;16;2;0.75;1.0
0.12790697674418605;0;800.0;500.0;2165;257;58;2;0.625;1.0
0.6848591549295775;0;200.0;125.0;2843;357;117;2;0.625;1.0
0.05023255813953489;0;350.0;200.0;2165;174;49;2;0.5714285714285714;1.0
0.3231197771587744;0;250.0;150.0;3106;814;461;2;0.6;1.0
0.4619718309859155;1;1300.0;450.0;210;163;15;2;0.3461538461538461;0.0
0.3944723618090452;0;325.0;225.0;460;140;33;4;0.6923076923076923;1.0
0.5460251046025104;0;250.0;100.0;976;441;14;2;0.4;1.0
0.6687898089171974;0;200.0;100.0;162;140;15;3;0.5;1.0
0.0975;0;400.0;250.0;721;40;9;2;0.625;1.0
0.6101813110181311;0;500.0;250.0;976;135;7;2;0.5;1.0
0.10972568578553617;0;250.0;120.0;326;249;59;3;0.48;1.0
